All states during the game:
============================================================

State 0: Pieces: [[7, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 1: Pieces: [[0, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 2: Pieces: [[7, 5, 6], [0, 0, 2], [1, 6, 12], [0, 7, 8]]
State 3: Pieces: [[1, 0, 2], [7, 5, 6], [1, 6, 12], [0, 7, 8]]
State 4: Pieces: [[7, 5, 6], [1, 0, 2], [2, 6, 12], [0, 7, 8]]
State 5: Pieces: [[2, 0, 2], [7, 5, 6], [2, 6, 12], [0, 7, 8]]
State 6: Pieces: [[7, 5, 6], [2, 0, 2], [1, 6, 12], [0, 7, 8]]
State 7: Pieces: [[1, 0, 2], [7, 5, 6], [1, 6, 12], [0, 7, 8]]
State 8: Pieces: [[7, 5, 6], [1, 0, 2], [2, 6, 12], [0, 7, 8]]
State 9: Pieces: [[2, 0, 2], [7, 5, 6], [2, 6, 12], [0, 7, 8]]
State 10: Pieces: [[7, 5, 6], [2, 0, 2], [1, 6, 12], [0, 7, 8]]
State 11: Pieces: [[1, 0, 2], [7, 5, 6], [1, 6, 12], [0, 7, 8]]
