All states during the game:
============================================================

State 0: Pieces: [[7, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 1: Pieces: [[6, 5, 6], [7, 0, 2], [0, 5, 12], [0, 7, 8]]
State 2: Pieces: [[6, 5, 6], [7, 0, 2], [1, 4, 12], [0, 7, 8]]
State 3: Pieces: [[5, 4, 6], [7, 0, 2], [1, 4, 12], [0, 7, 8]]
State 4: Pieces: [[5, 4, 6], [7, 0, 2], [0, 4, 8], [1, 4, 12]]
State 5: Pieces: [[4, 3, 6], [7, 0, 2], [1, 4, 12], [0, 4, 8]]
State 6: Pieces: [[4, 3, 6], [7, 0, 2], [2, 4, 12], [0, 4, 8]]
State 7: Pieces: [[7, 1, 2], [4, 3, 6], [2, 4, 12], [0, 4, 8]]
State 8: Pieces: [[4, 3, 6], [7, 1, 2], [1, 4, 12], [0, 4, 8]]
State 9: Pieces: [[3, 3, 6], [7, 1, 2], [1, 4, 12], [0, 4, 8]]
State 10: Pieces: [[3, 3, 6], [7, 1, 2], [0, 5, 12], [0, 4, 8]]
State 11: Pieces: [[6, 1, 2], [3, 3, 6], [0, 5, 12], [0, 4, 8]]
State 12: Pieces: [[3, 3, 6], [6, 1, 2], [0, 6, 12], [0, 4, 8]]
State 13: Pieces: [[6, 6, 2], [3, 3, 6], [0, 6, 12], [0, 4, 8]]
State 14: Pieces: [[3, 3, 6], [6, 6, 2], [1, 5, 12], [0, 4, 8]]
State 15: Pieces: [[6, 7, 2], [3, 3, 6], [1, 5, 12], [0, 4, 8]]
State 16: Pieces: [[3, 3, 6], [6, 7, 2], [0, 6, 12], [0, 4, 8]]
State 17: Pieces: [[6, 6, 2], [3, 3, 6], [0, 6, 12], [0, 4, 8]]
State 18: Pieces: [[3, 3, 6], [6, 6, 2], [1, 5, 12], [0, 4, 8]]
State 19: Pieces: [[6, 7, 2], [3, 3, 6], [1, 5, 12], [0, 4, 8]]
State 20: Pieces: [[3, 3, 6], [6, 7, 2], [0, 6, 12], [0, 4, 8]]
State 21: Pieces: [[6, 6, 2], [3, 3, 6], [0, 6, 12], [0, 4, 8]]
