All states during the game:
============================================================

State 0: Pieces: [[7, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 1: Pieces: [[1, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 2: Pieces: [[7, 5, 6], [1, 0, 2], [7, 7, 8], [0, 5, 12]]
State 3: Pieces: [[6, 6, 6], [1, 0, 2], [0, 5, 12], [7, 7, 8]]
State 4: Pieces: [[6, 6, 6], [1, 0, 2], [0, 4, 12], [7, 7, 8]]
State 5: Pieces: [[7, 7, 6], [1, 0, 2], [0, 4, 12]]
State 6: Pieces: [[7, 7, 6], [1, 0, 2], [0, 5, 12]]
State 7: Pieces: [[6, 6, 6], [1, 0, 2], [0, 5, 12]]
State 8: Pieces: [[6, 6, 6], [1, 0, 2], [0, 6, 12]]
State 9: Pieces: [[5, 5, 6], [1, 0, 2], [0, 6, 12]]
State 10: Pieces: [[5, 5, 6], [1, 0, 2], [0, 5, 12]]
State 11: Pieces: [[4, 4, 6], [1, 0, 2], [0, 5, 12]]
State 12: Pieces: [[4, 4, 6], [1, 0, 2], [0, 6, 12]]
State 13: Pieces: [[3, 3, 6], [1, 0, 2], [0, 6, 12]]
State 14: Pieces: [[3, 3, 6], [1, 0, 2], [0, 7, 12]]
State 15: Pieces: [[2, 4, 6], [1, 0, 2], [0, 7, 12]]
State 16: Pieces: [[2, 4, 6], [1, 0, 2], [0, 6, 12]]
State 17: Pieces: [[2, 5, 6], [1, 0, 2], [0, 6, 12]]
State 18: Pieces: [[2, 5, 6], [1, 0, 2], [0, 5, 12]]
State 19: Pieces: [[0, 0, 2], [2, 5, 6], [0, 5, 12]]
