All states during the game:
============================================================

State 0: Pieces: [[7, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 1: Pieces: [[0, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 2: Pieces: [[7, 5, 6], [0, 0, 2], [1, 6, 12], [0, 7, 8]]
State 3: Pieces: [[6, 6, 6], [0, 0, 2], [1, 6, 12], [0, 7, 8]]
State 4: Pieces: [[6, 6, 6], [0, 0, 8], [1, 6, 12]]
State 5: Pieces: [[5, 5, 6], [1, 6, 12], [0, 0, 8]]
State 6: Pieces: [[5, 5, 6], [0, 4, 8], [1, 6, 12]]
State 7: Pieces: [[4, 5, 6], [1, 6, 12], [0, 4, 8]]
State 8: Pieces: [[4, 5, 6], [2, 6, 12], [0, 4, 8]]
State 9: Pieces: [[5, 5, 6], [2, 6, 12], [0, 4, 8]]
State 10: Pieces: [[5, 5, 6], [3, 6, 12], [0, 4, 8]]
State 11: Pieces: [[6, 5, 6], [3, 6, 12], [0, 4, 8]]
State 12: Pieces: [[6, 5, 6], [4, 6, 12], [0, 4, 8]]
State 13: Pieces: [[6, 6, 6], [4, 6, 12], [0, 4, 8]]
State 14: Pieces: [[6, 6, 6], [6, 4, 8], [4, 6, 12]]
State 15: Pieces: [[7, 5, 6], [4, 6, 12], [6, 4, 8]]
State 16: Pieces: [[7, 5, 6], [5, 5, 12], [6, 4, 8]]
State 17: Pieces: [[7, 6, 6], [5, 5, 12], [6, 4, 8]]
State 18: Pieces: [[7, 6, 6], [6, 3, 8], [5, 5, 12]]
State 19: Pieces: [[7, 7, 6], [5, 5, 12], [6, 3, 8]]
State 20: Pieces: [[7, 7, 6], [5, 6, 12], [6, 3, 8]]
State 21: Pieces: [[7, 6, 6], [5, 6, 12], [6, 3, 8]]
State 22: Pieces: [[7, 6, 6], [7, 3, 8], [5, 6, 12]]
